"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"12";"";"CAP-POL-B";"PANASONIC_B";"C5, C11, C14, C17, C18, C19, C23, C25, C28, C29, C31, C38";"Aluminum Electrolytic "C"";"";
"9";"";"M10SILK_FEMALE_PTH";"1X10_OCTO";"J1C, J2C, J3B, J4B, J5A, J6A, JA, JB, JC";"Header 10";"";
"1";"";"WS2812B";"WS2812B";"LED1";"WS2812B - Intelligent control LED integrated light source";"";
"2";"0.15uF";"CAP0603-CAP";"0603-CAP";"C21, C27";"Capacitor";"";
"7";"0.1uF";"CAPACITOR-0.1UF";"C0603";"C1, C2, C3, C4, C6, C10, C12";"";"";
"4";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"D1, D2, D3, D4";"Schottky diode";"";
"10";"100K";"SMD-RES-100K-1%-1/10W(0603)";"R0603";"R13, R14, R29, R31, R33, R35, R38, R40, R42, R44";"301010196";"";
"2";"100R";"SMD-RES-100R-5%-1/10W(0603)";"R0603";"R26, R37";"301010090";"";
"3";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"C8, C9, C33";"302010138";"";
"2";"10K";"SMD-RES-10K-1%-1/10W(0603)";"R0603";"R15, R16";"301010299";"";
"4";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"R9, R12, R25, R28";"301010293";"";
"8";"10nf";"CERAMIC-10NF-50V-10%-X7R(0603)";"C0603";"C34, C35, C36, C37, C40, C41, C42, C43";"302010140";"";
"6";"10uf";"CERAMIC-10UF-10V-10%-X5R(0603)";"C0603";"C7, C13, C15, C30, C32, C39";"302010103";"";
"1";"120OHM-500MA";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"L3";"303030001";"";
"1";"1uf";"CERAMIC-1UF-25V-10%-X7R(0603)";"C0603";"C16";"302010139";"";
"6";"2.2K";"SMD-RES-2.2K-5%-1/10W(0603)";"R0603";"R10, R11, R17, R18, R19, R23";"301010124";"";
"5";"2.2uf";"CERAMIC-2.2UF-10V-10%-X7R(0603)";"C0603";"C20, C22, C24, C26, C44";"302010054";"";
"8";"220R";"SMD-RES-220R-5%-1/10W(0603)";"R0603";"R1, R2, R3, R4, R5, R6, R7, R8";"301010163";"";
"2";"25F32006WSOI";"SPI_FLASH-X25XXSMD1";"SO08-EIAJ";"U2, U3";"32M Serial Flash Memory";"";
"6";"2p-2.54";"JMP-2-NO-PTH";"JMP-2-NO-PTH-2.54";"CVI, CVO, GTI, GTO, SCL, SDA";"Two Terminal Jumper - Normally Open";"";
"3";"330OHM-500MA";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"L1, L2, L4";"303030001";"";
"2";"330R";"SMD-RES-330R-1%-1/10W(0603)";"R0603";"R21, R24";"301010300";"";
"2";"47K";"SMD-RES-47K-5%-1/10W(0603)";"R0603";"R20, R22";"301010084";"";
"1";"74LVT1G125DCK";"74LVT1G125DCK";"SC70-5";"U6";"Single Bus Buffer Gate with 3-State Output";"";
"1";"ADS1115IDGST";"ADC_ADS1015";"MSOP10";"U7";"ADS1015 - 12-bit 4-Channel I2C ADC with Internal PGA";"";
"1";"AP2112K-1.8V";"V_REG_LDOSMD";"SOT23-5";"U5";"Voltage Regulator LDO";"";
"6";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_3.5MM_TRRS_SMD_RA";"HEAD1, HEAD2, IN1, IN2, OUT1, OUT2";"Audio Jack - 3.5mm TRRS (SMD)";"";
"8";"BAT54S";"BAT54S";"SOT-23";"D5, D6, D7, D8, D9, D10, D11, D12";"";"";
"1";"DNP";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"R27";"301010293";"";
"8";"DNP";"SMD-RES-200K-5%-1/10W(0603)";"R0603";"R30, R32, R34, R36, R39, R41, R43, R45";"301010212";"";
"1";"ERA-NOS";"ERA-NOS";"ERA-OPEN";"ERA";"EuroRack2 - Backplane Connector";"";
"4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"FID1, FID2, FID3, FID4";"Fiducial Alignment Points";"";
"1";"FM24W256-G";"FM24W256-G";"SO08";"U1";"I2C FRAM FM24W256";"";
"1";"MCP4728T-E";"MCP4728T-E";"MSOP10";"DAC1";"MCP472812-Bit, Quad Digital-to-Analog Converter with EEPROM Memory";"";
"3";"PA_LOGO_SYMLARGE";"PA_LOGO_SYMLARGE";"PA_LOGO_AGENT_LRG_SYM";"$$U$1, U$100, U$101";"PatternAgents Logo Symbol";"";
"2";"SGTL5000-32";"SGTL5000-32";"QFN-32-5MM";"CODECH, CODECL";"";"";
"1";"TEENSY_3.5/3.6_BASIC";"TEENSY_3.5/3.6_BASIC";"TEENSY_3.5/3.6_BASIC";"U4";"";"";
